numero_opportunidad,cliente,unidad_negocio,etapas,tipos,acv,tcv,margen_ganancia,regiones,territorios,industrias,fecha_creacion_oportunidad,fecha_cierre_oportunidad,edad_oferta,lead_source,numero_vendedor
OP-06040,CL-00742,BU-04,Won,TY-04,179308.02,179308.02,0.19,RE-02,TE-15,IN-11,2018-04-22,2018-07-22,91.0,LS-21,NV-2
OP-06041,CL-00918,BU-01,Lost,TY-00,69739.97,69739.97,0.07,RE-02,TE-07,IN-30,2023-04-04,2023-09-19,168.0,LS-22,NV-4
OP-06042,CL-00742,BU-04,Won,TY-04,285262.76,285262.76,0.22,RE-02,TE-08,IN-61,2017-08-05,2018-07-07,336.0,LS-03,NV-3
OP-06043,CL-00918,BU-01,Lost,TY-00,173259.12,173259.12,0.07,RE-02,TE-07,IN-43,2022-09-29,2023-10-25,391.0,LS-34,NV-0
OP-06044,CL-00742,BU-04,Won,TY-00,74983.35,74983.35,0.13,RE-02,TE-02,IN-03,2018-04-02,2018-06-11,70.0,LS-02,NV-2
OP-06045,CL-00918,BU-01,Won,TY-00,546418.6,546418.6,0.14,RE-02,TE-05,IN-56,2023-07-20,2023-09-25,67.0,LS-23,NV-1
OP-06046,CL-00742,BU-04,Won,TY-04,13040.58,13040.58,0.11,RE-02,TE-15,IN-39,2018-04-25,2018-07-19,85.0,LS-08,NV-0
OP-06047,CL-00918,BU-01,Lost,TY-05,1220318.24,1220318.24,0.07,RE-02,TE-02,IN-32,2023-04-21,2023-09-05,137.0,LS-35,NV-4
OP-06048,CL-00742,BU-04,Won,TY-04,77754.48,77754.48,0.2,RE-02,TE-09,IN-36,2018-02-07,2018-05-10,92.0,LS-18,NV-1
OP-06049,CL-00918,BU-01,Lost,TY-00,161751.0,161751.0,0.24,RE-02,TE-05,IN-51,2023-03-11,2023-07-16,127.0,LS-16,NV-1
OP-06050,CL-00742,BU-04,Won,TY-04,156487.0,156487.0,0.12,RE-02,TE-09,IN-43,2018-06-24,2018-06-29,5.0,LS-32,NV-3
OP-06051,CL-00918,BU-01,Lost,TY-00,14296.68,14296.68,0.3,RE-02,TE-09,IN-09,2022-02-11,2023-05-26,469.0,LS-04,NV-4
OP-06052,CL-00742,BU-04,Won,TY-04,189740.49,189740.49,0.05,RE-02,TE-12,IN-32,2017-08-08,2018-07-01,327.0,LS-29,NV-4
OP-06053,CL-00918,BU-01,Lost,TY-00,48948.86,48948.86,0.25,RE-02,TE-05,IN-57,2023-03-12,2023-07-07,117.0,LS-07,NV-1
OP-06054,CL-00742,BU-04,Won,TY-05,5705.26,5705.26,0.29,RE-02,TE-05,IN-27,2018-04-25,2018-04-25,0.0,LS-01,NV-2
OP-06055,CL-00918,BU-01,Lost,TY-00,64881.06,64881.06,0.15,RE-02,TE-12,IN-02,2021-11-27,2023-01-10,409.0,LS-19,NV-1
OP-06056,CL-00742,BU-04,Won,TY-04,39121.75,39121.75,0.11,RE-02,TE-15,IN-13,2018-03-14,2018-03-30,16.0,LS-02,NV-1
OP-06057,CL-00918,BU-01,Won,TY-00,49590.62,49590.62,0.14,RE-02,TE-12,IN-17,2022-06-15,2022-10-03,110.0,LS-06,NV-4
OP-06058,CL-00742,BU-04,Won,TY-04,30319.36,30319.36,0.26,RE-02,TE-02,IN-14,2018-03-18,2018-03-30,12.0,LS-15,NV-1
OP-06059,CL-00918,BU-01,Won,TY-00,36445.22,36445.22,0.25,RE-02,TE-03,IN-13,2021-04-05,2022-07-11,462.0,LS-03,NV-2
OP-06060,CL-00742,BU-04,Won,TY-04,40751.82,40751.82,0.09,RE-02,TE-04,IN-24,2018-05-10,2018-06-25,46.0,LS-18,NV-1
OP-06061,CL-00918,BU-01,Lost,TY-00,48044.56,48044.56,0.21,RE-02,TE-13,IN-30,2021-09-29,2022-05-02,215.0,LS-30,NV-0
OP-06062,CL-00918,BU-01,Won,TY-00,13126.93,13126.93,0.05,RE-02,TE-11,IN-49,2021-04-22,2021-09-12,143.0,LS-21,NV-2
OP-06063,CL-00918,BU-01,Lost,TY-02,69739.97,69739.97,0.27,RE-02,TE-02,IN-50,2019-02-09,2021-05-26,837.0,LS-06,NV-2
OP-06064,CL-00742,BU-04,Won,TY-04,61942.77,61942.77,0.1,RE-02,TE-13,IN-38,2018-03-23,2018-04-15,23.0,LS-05,NV-1
OP-06065,CL-00742,BU-04,Won,TY-04,49717.22,49717.22,0.22,RE-02,TE-09,IN-37,2018-02-14,2018-03-30,44.0,LS-24,NV-3
OP-06066,CL-00742,BU-04,Won,TY-04,78243.5,78243.5,0.29,RE-02,TE-01,IN-04,2018-03-20,2018-05-30,71.0,LS-02,NV-3
OP-06067,CL-00742,BU-04,Won,TY-04,101725.92,101725.92,0.14,RE-02,TE-07,IN-18,2018-03-12,2018-05-22,71.0,LS-11,NV-3
OP-06068,CL-00918,BU-01,Won,TY-00,53480.08,53480.08,0.06,RE-02,TE-04,IN-03,2018-07-01,2018-09-17,78.0,LS-18,NV-1
OP-06069,CL-00742,BU-04,Won,TY-05,2236.44,2236.44,0.13,RE-02,TE-10,IN-45,2018-06-19,2018-06-19,0.0,LS-30,NV-4
